G_true,G_guess,SHD,SID
20002,20001,23,35
20001,20002,23,31
20003,20001,20,21
20001,20003,20,33
20003,20002,19,24
20002,20003,19,38
20004,20001,21,46
20001,20004,21,34
20004,20002,18,39
20002,20004,18,33
20004,20003,21,53
20003,20004,21,24
20005,20001,20,38
20001,20005,20,24
20005,20002,15,40
20002,20005,15,35
20005,20003,17,49
20003,20005,17,26
20005,20004,22,54
20004,20005,22,53
20006,20001,14,11
20001,20006,14,31
20006,20002,15,9
20002,20006,15,34
20006,20003,13,9
20003,20006,13,24
20006,20004,20,9
20004,20006,20,40
20006,20005,17,13
20005,20006,17,60
20007,20001,11,0
20001,20007,11,26
20007,20002,12,0
20002,20007,12,29
20007,20003,10,0
20003,20007,10,21
20007,20004,14,0
20004,20007,14,44
20007,20005,13,0
20005,20007,13,49
20007,20006,6,0
20006,20007,6,9
20008,20001,38,83
20001,20008,38,16
20008,20002,39,75
20002,20008,39,30
20008,20003,37,73
20003,20008,37,14
20008,20004,38,83
20004,20008,38,39
20008,20005,38,74
20005,20008,38,25
20008,20006,43,79
20006,20008,43,13
20008,20007,45,81
20007,20008,45,0
20009,20001,18,20
20001,20009,18,20
20009,20002,19,47
20002,20009,19,42
20009,20003,15,60
20003,20009,15,27
20009,20004,16,44
20004,20009,16,53
20009,20005,19,62
20005,20009,19,49
20009,20006,13,46
20006,20009,13,8
20009,20007,9,45
20007,20009,9,0
20009,20008,40,52
20008,20009,40,85
20010,20001,13,23
20001,20010,13,26
20010,20002,20,26
20002,20010,20,40
20010,20003,15,20
20003,20010,15,19
20010,20004,17,33
20004,20010,17,45
20010,20005,21,31
20005,20010,21,54
20010,20006,13,22
20006,20010,13,8
20010,20007,9,25
20007,20010,9,0
20010,20008,40,21
20008,20010,40,76
20010,20009,15,33
20009,20010,15,52
