"G_true","G_guess","SHD","SID"
10002,10001,32,1970
10001,10002,32,404
10003,10001,63,3528
10001,10003,63,943
10003,10002,31,1786
10002,10003,31,620
10004,10001,1559,7880
10001,10004,1559,8163
10004,10002,1573,7859
10002,10004,1573,8164
10004,10003,1588,7839
10003,10004,1588,8251
10005,10001,1562,7880
10001,10005,1562,8159
10005,10002,1574,7859
10002,10005,1574,8160
10005,10003,1589,7839
10003,10005,1589,8247
10005,10004,27,1118
10004,10005,27,838
10006,10001,1579,8053
10001,10006,1579,8134
10006,10002,1591,8032
10002,10006,1591,8135
10006,10003,1606,8009
10003,10006,1606,8222
10006,10004,58,3224
10004,10006,58,929
10006,10005,31,2198
10005,10006,31,167
10007,10001,2357,8665
10001,10007,2357,6467
10007,10002,2361,8644
10002,10007,2361,6555
10007,10003,2368,8627
10003,10007,2368,6569
10007,10004,2464,8708
10004,10007,2464,6331
10007,10005,2465,8703
10005,10007,2465,6328
10007,10006,2464,8676
10006,10007,2464,6340
10008,10001,2357,8665
10001,10008,2357,6571
10008,10002,2361,8644
10002,10008,2361,6659
10008,10003,2368,8627
10003,10008,2368,6673
10008,10004,2446,8708
10004,10008,2446,6345
10008,10005,2447,8703
10005,10008,2447,6342
10008,10006,2446,8676
10006,10008,2446,6353
10008,10007,40,738
10007,10008,40,1436
10009,10001,2337,8665
10001,10009,2337,6591
10009,10002,2339,8644
10002,10009,2339,6679
10009,10003,2346,8627
10003,10009,2346,6693
10009,10004,2428,8708
10004,10009,2428,6367
10009,10005,2429,8703
10005,10009,2429,6364
10009,10006,2428,8676
10006,10009,2428,6376
10009,10007,78,1258
10007,10009,78,2947
10009,10008,38,526
10008,10009,38,1686
10010,10001,2490,8656
10001,10010,2490,6226
10010,10002,2494,8635
10002,10010,2494,6236
10010,10003,2493,8618
10003,10010,2493,6238
10010,10004,2465,8603
10004,10010,2465,6107
10010,10005,2466,8598
10005,10010,2466,6107
10010,10006,2471,8571
10006,10010,2471,6198
10010,10007,2453,7005
10007,10010,2453,7111
10010,10008,2455,7019
10008,10010,2455,7111
10010,10009,2451,7041
10009,10010,2451,7111
